0.000000000,"N"
0.046439909,"Ab"
1.625396825,"Bm6"
2.925714285,"Cm"
4.318911564,"C#"
7.476825396,"Cm"
8.126984126,"D7"
8.777142857,"Gaug"
10.077460317,"Cm"
10.959818594,"F7"
11.331337868,"G"
15.789569160,"D7/F#"
17.182766439,"Cm7"
19.458321995,"Fm"
20.108480725,"Ab"
20.572879818,"Dm"
20.851519274,"Cm"
23.127074829,"Fm7"
25.031111111,"Cm"
26.517188208,"G"
27.445986394,"B"
27.910385487,"Gmaj7"
28.421224489,"Cm"
29.442902494,"F7"
29.767981859,"Gmaj7"
31.950657596,"Eb6"
33.854693877,"Fm7"
35.990929705,"Cm7"
37.848526077,"Fm7"
39.659682539,"Cm"
41.099319727,"G"
42.910476190,"Cm"
44.210793650,"G7"
44.675192743,"D7"
45.557551020,"G7"
46.254149659,"Cm7"
48.576145124,"Fm7"
49.876462585,"Cm"
52.012698412,"Fm"
53.684535147,"Cm"
54.566893424,"F6"
55.867210884,"G"
57.028208616,"Cm"
58.607165532,"G"
61.022040816,"Cm7"
62.879637188,"Fm7"
63.947755102,"Abm7b5"
64.365714285,"Eb"
65.526712018,"Cmaj7"
67.012789115,"Cdim"
67.895147392,"Cm"
69.892063492,"Gmaj7"
71.935419501,"Cm"
73.653696145,"D7"
75.325532879,"G"
78.994285714,"C"
80.898321995,"Dm"
82.663038548,"Ebmaj7"
84.334875283,"Gmaj7"
86.285351473,"Abmaj7"
88.375147392,"D7"
90.093424036,"G7"
93.808616780,"Cm"
95.666213151,"Fm"
97.477369614,"Cm"
98.406167800,"D"
98.731247165,"C7"
99.242086167,"G"
103.700317460,"Gm6"
105.232834467,"Fm7"
106.440272108,"F6"
107.276190476,"Cmaj7"
108.251428571,"Cm"
108.762267573,"C#dim"
109.598185941,"Ab"
110.434104308,"G"
112.291700680,"Fm7"
113.870657596,"Cm"
114.520816326,"Cmaj7"
115.170975056,"C#"
118.328888888,"Emaj7"
118.932607709,"Gmaj7"
120.232925170,"Cm"
123.715918367,"Ab6"
124.226757369,"G7"
124.644716553,"Eb6"
128.127709750,"Ab6"
128.638548752,"G7"
129.149387755,"Cm"
132.632380952,"Ab6"
133.143219954,"G7"
133.746938775,"Ab6"
134.304217687,"G7"
134.675736961,"Eb6"
136.347573696,"G7"
141.548843537,"Bbm"
142.663401360,"Cm7"
144.799637188,"Fm"
146.517913832,"Cm"
148.329070294,"Fm7"
150.325986394,"Cm"
150.929705215,"Dm7"
153.391020408,"Cm7"
154.737777777,"F7"
155.109297052,"G"
157.384852607,"Cm7"
159.335328798,"Fm7"
161.146485260,"Cm"
163.189841269,"Dm7b5/C"
164.815238095,"Cm"
166.579954648,"Gmaj7"
168.298231292,"Cm"
170.295147392,"D7"
171.223945578,"Cmaj7"
173.871020408,"Caug"
175.032018140,"Fm6"
175.496417233,"Cm"
176.285895691,"Cmaj7"
178.886530612,"Cm"
180.093968253,"D7"
181.022766439,"Gmaj7"
182.369523809,"Cm"
183.762721088,"G"
185.991836734,"C"
191.239546485,"Fm"
193.097142857,"C"
194.258140589,"Bb7/D"
194.908299319,"G"
196.626575963,"Cm"
199.923809523,"F#m7b5"
200.341768707,"Fm7"
202.245804988,"Cmaj7"
202.756643990,"Cdim"
203.917641723,"C#dim"
204.707120181,"Ab"
205.635918367,"G"
207.539954648,"Fm7"
209.351111111,"Cm"
210.326349206,"C#"
214.134421768,"Cm7"
214.691700680,"Gm7"
215.759818594,"Cm"
219.289251700,"Ab/Eb"
219.800090702,"G7"
220.264489795,"Cm"
223.793922902,"Ab6"
224.258321995,"G7"
224.769160997,"Cm"
228.252154195,"Ab6"
228.762993197,"G7"
229.320272108,"Ab6"
229.831111111,"G7"
230.341950113,"Cm"
236.843537414,"N"
