0.000000000,"N"
0.046439909,"Ab"
1.671836734,"Bm6"
2.972154195,"Cm"
4.411791383,"C#"
7.523265306,"Cm"
8.173424036,"D7"
8.823582766,"Gaug"
10.123900226,"Cm"
11.006258503,"F7"
11.377777777,"G"
15.836009070,"D7/F#"
17.229206349,"Cm7"
19.504761904,"Fm7"
20.619319727,"Ddim"
20.944399092,"Cm"
23.173514739,"Fm7"
25.077551020,"Cm"
26.563628117,"G"
28.467664399,"Cm"
29.442902494,"F7"
29.814421768,"Gmaj7"
31.997097505,"Eb6"
33.901133786,"Fm7"
36.037369614,"Cm7"
37.894965986,"Fm7"
39.752562358,"Cm"
41.145759637,"G"
42.956916099,"Cm"
43.885714285,"F7"
44.303673469,"G7"
44.721632653,"D7"
45.603990929,"G7"
46.347029478,"Cm7"
48.622585034,"Fm7"
49.644263038,"D"
49.922902494,"Cm"
52.059138321,"Fm"
53.730975056,"Cm"
54.613333333,"F6"
55.913650793,"G"
57.121088435,"Cm"
58.653605442,"G"
61.068480725,"Cm7"
62.926077097,"Fm7"
63.994195011,"Ddim"
64.412154195,"Eb"
65.573151927,"Cmaj7"
67.059229024,"Cdim"
67.941587301,"Cm"
69.938503401,"Gmaj7"
71.981859410,"Cm"
73.700136054,"D7"
74.443174603,"Ebmaj7"
74.954013605,"D7"
75.418412698,"G"
79.040725623,"C"
80.944761904,"Dm"
82.709478458,"Ebmaj7"
84.381315192,"Gmaj7"
86.331791383,"Abmaj7"
88.421587301,"D7"
90.139863945,"G7"
93.855056689,"Cm"
95.712653061,"Fm"
97.523809523,"Cm"
98.452607709,"D"
98.777687074,"C7"
99.288526077,"G"
103.746757369,"Gm6"
105.279274376,"Fm7"
106.440272108,"Fm6"
107.322630385,"Cmaj7"
108.297868480,"Cm"
108.808707482,"C#dim"
109.644625850,"Ab"
110.480544217,"G"
112.338140589,"Fm7"
113.917097505,"Cm"
114.567256235,"Cmaj7"
115.217414965,"C#"
118.375328798,"Emaj7"
119.025487528,"Gmaj7"
120.279365079,"Cm"
123.762358276,"Ab6"
124.226757369,"G7"
124.691156462,"Eb6"
128.174149659,"Ab6"
128.684988662,"G7"
129.195827664,"Cm"
132.632380952,"Ab6"
133.236099773,"G7"
133.793378684,"Ab6"
134.350657596,"G7"
134.722176870,"Eb6"
136.394013605,"G7"
141.595283446,"Bbm"
142.616961451,"Cm7"
144.846077097,"Fm"
146.610793650,"Cm"
148.375510204,"Fm7"
150.372426303,"Cm"
150.976145124,"Dm7"
153.437460317,"Cm7"
154.784217687,"F7"
155.155736961,"G"
156.827573696,"Cm"
159.381768707,"Fm7"
161.192925170,"Cm"
163.236281179,"Ddim7/C"
164.861678004,"Cm"
166.626394557,"Gmaj7"
168.344671201,"Cm"
169.412789115,"F7"
169.737868480,"Gaug"
170.341587301,"D7"
171.316825396,"Cmaj7"
173.917460317,"Caug"
175.078458049,"Fm6"
175.542857142,"Cm"
176.332335600,"C"
177.354013605,"Fm"
177.864852607,"Cmaj7"
178.979410430,"Cm"
180.140408163,"D7"
180.976326530,"Gmaj7"
182.415963718,"Cm"
183.809160997,"G"
186.038276643,"C"
191.285986394,"Fm"
193.143582766,"C"
194.351020408,"Bb7/D"
194.954739229,"G"
196.673015873,"Cm"
199.970249433,"F#dim7"
200.388208616,"Fm7"
202.245804988,"Cmaj7"
202.803083900,"Cdim"
203.964081632,"C#dim"
204.521360544,"C#aug"
204.800000000,"Ab"
205.682358276,"G"
207.586394557,"Fm7"
208.933151927,"G7/B"
209.397551020,"Cm"
210.372789115,"C#"
214.180861678,"Cm7"
214.738140589,"Gm7"
215.852698412,"Cm"
219.335691609,"Ab/Eb"
219.846530612,"G7"
220.310929705,"Cm"
223.840362811,"Ab6"
224.304761904,"G7"
224.815600907,"Cm"
228.298594104,"Ab6"
228.809433106,"G7"
229.366712018,"Ab6"
229.877551020,"G7"
230.388390022,"Cm"
236.889977324,"N"
236.889977324,"N"
